Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen
466;18;22;NicolasGonzalez;Argentinien;23;2;3
467;18;11;AnastasiosDonis;Griechenland;19;3;0
468;18;25;LeonDajaku;Deutschland;2;0;0
469;16;23;MichaelEsser;Deutschland;26;0;0
470;16;30;LeoWeinkauf;Deutschland;0;0;0
471;16;31;WaldemarAnton;Deutschland;28;0;0
472;16;3;MiikoAlbornoz;Chile;19;1;2
473;16;5;Felipe;Brasilien;13;2;0
474;16;22;MatthiasOstrzolek;Deutschland;13;0;0
475;16;25;OliverSorg;Deutschland;13;0;0
476;16;2;JosipElez;Kroatien;11;0;0
477;16;4;JulianKorb;Deutschland;10;0;0
478;16;14;KevinAkpoguma;Deutschland;4;0;0
479;16;15;TimoHübers;Deutschland;0;0;0
480;16;8;Walace;Brasilien;24;0;1
481;16;10;GenkiHaraguchi;Japan;21;0;4
482;16;27;PirminSchwegler;Schweiz;20;0;3
483;16;6;MarvinBakalorz;Deutschland;19;1;0
484;16;35;MuslijaFlorent;Deutschland;13;2;0
485;16;18;IverFossum;Norwegen;11;0;0
486;16;21;NicolaiMüller;Deutschland;8;2;0
487;16;29;BenjaminHadzic;Bosnien-Herzegowina;3;0;0
488;16;34;TimDierßen;Deutschland;1;0;0
489;16;7;EdgarPrib;Deutschland;0;0;0
490;16;17;BobbyWood;Unbekannt;22;3;3
491;16;24;NiclasFüllkrug;Deutschland;14;3;1
492;16;11;TakumaAsano;Japan;14;1;0
493;16;40;LintonMaina;Deutschland;13;1;0
494;16;13;IhlasBebou;Togo;12;4;3
495;16;37;NoahJoelSarenrenBazee;Deutschland;3;0;0
496;16;33;UffeBech;Dänemark;1;0;0
497;15;26;ChristianMathenia;Deutschland;16;0;0
498;15;1;FabianBredlow;Deutschland;14;0;0
499;15;30;PatricKlandt;Deutschland;0;0;0
500;15;28;LukasMühl;Deutschland;26;1;0
501;15;23;TimLeibold;Deutschland;26;0;2
502;15;33;GeorgMargreitter;Österreich;23;2;0
503;15;22;EnricoValentini;Italien;17;0;2
504;15;8;RobertBauer;Deutschland;16;0;0
505;15;4;Ewerton;Brasilien;14;0;0
506;15;2;KevinGoden;Deutschland;6;0;0
507;15;20;LukasJager;Österreich;2;0;0
508;15;34;DennisLippert;Deutschland;0;0;0
509;15;18;HannoBehrens;Deutschland;25;4;1
510;15;31;OndrejPetrak;Tschechien;22;0;0
511;15;17;EduardLowen;Deutschland;15;1;2
512;15;29;PatrickErras;Deutschland;11;0;0
513;15;35;AlexanderFuchs;Deutschland;10;1;0
514;15;38;SimonRhein;Deutschland;8;0;0
515;15;37;TimothyTillmann;Deutschland;2;0;0
516;15;16;IvoIlicevic;Kroatien;0;0;0
517;15;9;MikaelIshak;Schweden;23;5;2
518;15;24;Vura;Niederlande;21;1;1
519;15;21;FedericoPalacios;Deutschland;20;3;0
520;15;14;YuyaKubo;Japan;19;0;0
521;15;11;AdamZrelak;Slowakei;16;2;2
